z,kinematic_sin,linear_theta,linear_uz,fem_mean_utheta_over_r,fem_theta_fit,fem_mean_uz,fem_mean_J
1.0822784810126582,0.27956387629202534,0.28333984375730731,0.54113924050632911,0.25098915959817342,0.28069198561165548,0.53775024257142234,1.236228914428515
1.1202531645569622,0.28909524584336099,0.29328159266107251,0.56012658227848111,0.25958121192480793,0.29057491930017126,0.55647816533184613,1.2362291525975773
1.1582278481012658,0.29859804192680417,0.3032233415648376,0.57911392405063289,0.26814664444834174,0.30045792460573284,0.5752060868777038,1.2362296160589807
1.1962025316455698,0.30807132530920384,0.3131650904686028,0.59810126582278489,0.27952719056345937,0.31363523303324503,0.60017664767632206,1.236229539691009
1.2341772151898733,0.31751415967437174,0.32310683937236795,0.61708860759493667,0.28803298637180358,0.32351825651267269,0.61890456759306711,1.2362289998616338
1.2721518987341773,0.32692561171562656,0.33304858827613315,0.63607594936708867,0.29650635949380361,0.33340120687965424,0.63763248703469866,1.2362292134642816
1.3101265822784809,0.33630475122803882,0.3429903371798983,0.65506329113924044,0.30495417046824103,0.34328414565984494,0.65636040621389136,1.2362289540957039
1.3481012658227849,0.34565065120037075,0.3529320860836635,0.67405063291139244,0.31336978701995061,0.353167158235002,0.67508832515979866,1.2362288664601744
1.3860759493670884,0.35496238790669926,0.36287383498742859,0.69303797468354422,0.32175799381911363,0.3630501784364264,0.69381624397847119,1.2362287788246447
1.4240506329113924,0.36423904099771531,0.37281558389119379,0.71202531645569622,0.33011069045004032,0.37293312376148541,0.71254416269541976,1.2362282190165372
1.4620253164556964,0.37347969359168859,0.38275733279495899,0.73101265822784822,0.33843495679181751,0.3828160652065476,0.73127208136313626,1.2362297542562353
1.5,0.38268343236508978,0.39269908169872414,0.75,0.34672274620205384,0.39269908170113299,0.74999999999998035,1.2362292047758396
1.537974683544304,0.39184934764286167,0.40264083060248934,0.768987341772152,0.35498018127801778,0.40258209819571716,0.76872791863682466,1.2362286552954442
1.5759493670886076,0.40097653348832873,0.41258257950625449,0.78797468354430378,0.36319922451826692,0.41246503964077669,0.78745583730454161,1.2362304094074534
1.6139240506329116,0.41006408779273829,0.42252432841001969,0.80696202531645578,0.37138701395868434,0.42234798496583048,0.80618375602149062,1.2362283445141133
1.6518987341772151,0.41911111236442183,0.43246607731378478,0.82594936708860756,0.37953395489305713,0.43223100516724838,0.82491167484016392,1.2362284321517465
1.6898734177215191,0.42811671301757115,0.44240782621754998,0.84493670886075956,0.38764764540281949,0.44211401774239623,0.84363959378607245,1.2362285197893796
1.7278481012658227,0.43707999966061661,0.45234957512131513,0.86392405063291133,0.39572026854216524,0.45199695652257582,0.86236751296526626,1.236229475545614
1.7658227848101267,0.44600008638420219,0.46229132402508033,0.88291139240506333,0.40375886373213765,0.46187990688954372,0.88109543240689947,1.2362274201259422
1.8037974683544302,0.45487609154874609,0.47223307292884548,0.90189873417721511,0.41175216227552919,0.47176293036895539,0.89982335232364596,1.2362278094790589
1.8417721518987342,0.46370713787158052,0.48217482183261068,0.92088607594936711,0.42235107393172849,0.48494023879644199,0.92479391312226689,1.2362292029874309
1.8797468354430382,0.4724923525136594,0.49211657073637588,0.93987341772151911,0.43025335091342948,0.49482324410198103,0.94352183466812656,1.2362302071426861
1.9177215189873418,0.48123086716582819,0.50205831964014103,0.95886075949367089,0.43811134958741116,0.50470617779047111,0.96224975742855268,1.2362290899443544
1.9556962025316458,0.48992181813464536,0.51200006854390623,0.97784810126582289,0.44593175013396219,0.51458912997076312,0.98097768141165353,1.236229272207173
